time,gFx,gFy,gFz,TgF
15:28:20:6460,-0.2129,0.4659,0.5842,0.777
15:28:20:6460,-0.2178,0.4691,0.5862,0.782
15:28:20:6460,-0.2237,0.4737,0.5891,0.788
15:28:20:6460,-0.2300,0.4798,0.5923,0.796
15:28:20:6480,-0.2354,0.4855,0.5959,0.804
15:28:20:6500,-0.2381,0.4896,0.5991,0.810
15:28:20:6510,-0.2378,0.4930,0.6018,0.814
15:28:20:6550,-0.2366,0.4974,0.6045,0.818
15:28:20:6560,-0.2351,0.5018,0.6069,0.822
15:28:20:6580,-0.2332,0.5053,0.6099,0.826
15:28:20:6590,-0.2310,0.5087,0.6121,0.829
15:28:20:6610,-0.2298,0.5133,0.6135,0.832
15:28:20:6630,-0.2300,0.5187,0.6145,0.836
15:28:20:6660,-0.2300,0.5224,0.6157,0.840
15:28:20:6680,-0.2281,0.5206,0.6184,0.840
15:28:20:6700,-0.2283,0.5163,0.6206,0.839
15:28:20:6740,-0.2332,0.5175,0.6216,0.842
15:28:20:6750,-0.2400,0.5226,0.6243,0.849
15:28:20:6750,-0.2457,0.5253,0.6304,0.857
15:28:20:6780,-0.2486,0.5258,0.6385,0.864
15:28:20:6800,-0.2474,0.5277,0.6470,0.871
15:28:20:6820,-0.2413,0.5321,0.6563,0.879
15:28:20:6840,-0.2310,0.5368,0.6666,0.886
15:28:20:6860,-0.2180,0.5407,0.6761,0.893
15:28:20:6879,-0.2048,0.5439,0.6854,0.899
15:28:20:6909,-0.1924,0.5468,0.6942,0.904
15:28:20:6919,-0.1804,0.5492,0.7028,0.910
15:28:20:6939,-0.1689,0.5495,0.7118,0.915
15:28:20:6949,-0.1428,0.5316,0.7182,0.905
15:28:20:6979,-0.0733,0.4686,0.7140,0.857
15:28:20:6990,-0.0068,0.4114,0.7140,0.824
15:28:20:7020,0.0076,0.4070,0.7282,0.834
15:28:20:7060,-0.0166,0.4385,0.7477,0.867
15:28:20:7070,-0.0464,0.4715,0.7641,0.899
15:28:20:7090,-0.0533,0.4771,0.7749,0.912
15:28:20:7100,-0.0130,0.4336,0.7810,0.893
15:28:20:7120,0.0237,0.3943,0.7915,0.885
15:28:20:7150,0.0171,0.4023,0.8071,0.902
15:28:20:7160,-0.0100,0.4368,0.8203,0.929
15:28:20:7190,-0.0318,0.4647,0.8296,0.951
15:28:20:7200,-0.0501,0.4730,0.8357,0.962
15:28:20:7230,-0.0816,0.4610,0.8389,0.961
15:28:20:7240,-0.1278,0.4331,0.8401,0.954
15:28:20:7270,-0.1630,0.4075,0.8401,0.948
15:28:20:7280,-0.1572,0.4075,0.8426,0.949
15:28:20:7300,-0.1122,0.4177,0.8477,0.952
15:28:20:7320,-0.0264,0.3862,0.8546,0.938
15:28:20:7350,0.0606,0.3256,0.8670,0.928
15:28:20:7360,0.0890,0.2997,0.8895,0.943
15:28:20:7400,0.0665,0.3141,0.9125,0.967
15:28:20:7410,0.0254,0.3359,0.9249,0.984
15:28:20:7420,-0.0215,0.3429,0.9303,0.992
15:28:20:7440,-0.0914,0.3307,0.9364,0.997
15:28:20:7830,-0.1958,0.3046,0.9450,1.012
15:28:20:7840,-0.3046,0.2831,0.9589,1.045
15:28:20:7840,-0.3845,0.2760,0.9765,1.085
15:28:20:7840,-0.4283,0.2823,0.9956,1.120
15:28:20:7850,-0.4542,0.2936,1.0115,1.147
15:28:20:7850,-0.4803,0.3043,1.0244,1.172
15:28:20:7850,-0.5145,0.3158,1.0362,1.199
15:28:20:7860,-0.5536,0.3305,1.0481,1.231
15:28:20:7860,-0.5901,0.3464,1.0611,1.263
15:28:20:7870,-0.6209,0.3623,1.0765,1.294
15:28:20:7870,-0.6465,0.3774,1.0953,1.327
15:28:20:7880,-0.6680,0.3904,1.1166,1.358
15:28:20:7880,-0.6839,0.4023,1.1386,1.388
15:28:20:7890,-0.6979,0.4158,1.1603,1.416
15:28:20:7890,-0.7130,0.4319,1.1819,1.446
15:28:20:7900,-0.7311,0.4539,1.2065,1.482
15:28:20:7900,-0.7502,0.4825,1.2337,1.522
15:28:20:7910,-0.7661,0.5121,1.2606,1.561
15:28:20:7910,-0.7741,0.5382,1.2848,1.594
15:28:20:7920,-0.7717,0.5588,1.3046,1.615
15:28:20:7920,-0.7582,0.5742,1.3207,1.628
15:28:20:7930,-0.7350,0.5884,1.3346,1.633
15:28:20:7930,-0.7067,0.6028,1.3471,1.636
15:28:20:7940,-0.6751,0.6179,1.3596,1.639
15:28:20:7940,-0.6397,0.6348,1.3720,1.642
15:28:20:8010,-0.6013,0.6548,1.3833,1.644
15:28:20:8060,-0.5639,0.6793,1.3950,1.651
15:28:20:8070,-0.5253,0.7040,1.4065,1.658
15:28:20:8080,-0.4833,0.7221,1.4133,1.659
15:28:20:8090,-0.4402,0.7336,1.4146,1.653
15:28:20:8090,-0.3955,0.7384,1.4119,1.642
15:28:20:8100,-0.3466,0.7345,1.4040,1.622
15:28:20:8100,-0.2933,0.7265,1.3911,1.597
15:28:20:8169,-0.2395,0.7184,1.3735,1.568
15:28:20:8189,-0.1924,0.7113,1.3532,1.541
15:28:20:8189,-0.1511,0.7052,1.3336,1.516
15:28:20:8200,-0.1117,0.7023,1.3153,1.495
15:28:20:8200,-0.0765,0.7003,1.2989,1.478
15:28:20:8230,-0.0491,0.6976,1.2850,1.463
15:28:20:8240,-0.0276,0.6966,1.2735,1.452
15:28:20:8260,-0.0017,0.7020,1.2637,1.446
15:28:20:8280,0.0340,0.7167,1.2537,1.445
15:28:20:8300,0.0636,0.7252,1.2415,1.439
15:28:20:8320,0.0667,0.7113,1.2258,1.419
15:28:20:8340,0.0325,0.6705,1.2065,1.381
15:28:20:8360,-0.0464,0.6067,1.1833,1.331
15:28:20:8390,-0.1601,0.5319,1.1564,1.283
15:28:20:8400,-0.2784,0.4613,1.1271,1.249
15:28:20:8420,-0.3733,0.4050,1.0975,1.228
15:28:20:8440,-0.4312,0.3664,1.0689,1.209
15:28:20:8460,-0.4561,0.3444,1.0413,1.188
15:28:20:8480,-0.4598,0.3361,1.0159,1.165
15:28:20:8500,-0.4507,0.3400,0.9958,1.145
